Synthesis Results,,,,,,,,,,,,,,,,,,,,,,
All are 16 x 16 multipliers,,,,,,,,,,,,,,,,,,,,,,
Target FPGA : EP2C35F672C7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Adder Used : Ripple Carry Adder (RCA),,,,,,,,,,,,,,,,,,,,,,
Pipelining Standards : I/P Register + Every 2 Stage Registers + O/P Register,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Metric,Why it matters?,Wallace,Dadda,Custom Greedy,Row Adder,Array Carry Save,Linear Vector Carry Save,Tree Vector Carry Save,Vedic,Braun,Booth Wallace,,,Booth Dadda,,,Baugh-Wooley,,Wallace (with KSA),,,
,,,,,,,,,,,Radix2,Radix4,Radix8,Radix2,Radix4,Radix8,Wallace,Dadda,,,,
Logic Elements / LUTs,Overall FPGA Area,766,760,2513,1362,1369,1368,792,871,1368,911,624,792,898,606,769,782,765,850,,,
Combinational Functions,Shows actual combinational logic used,765,760,2510,1362,1368,1368,787,871,1368,911,622,792,898,606,767,781,765,331,,,
Dedicated Logic Registers,Sequential hardware used,331,446,2168,1023,1121,1121,351,128,1121,352,212,196,473,236,229,333,448,331,,,
Total Pins,"Mostly constant, useful to verify interfaces",67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,,,
Maximum Frequency (Fmax) (MHz),Maximum Operating Clock,96.06,79.01,219.83,92.43,114.2,113.9,93.41,81.67,114.3,100.93,94.57,93.46,69.9,79.14,78.45,93.3,79.33,182.95,,,
Critical Path Delay (ns),Direct Speed Comparison,10.41,12.66,4.55,10.82,8.76,8.78,10.71,12.24,8.75,9.91,10.57,10.7,14.31,12.64,12.75,10.72,12.61,5.47,,,
Static Thermal Power (mW),Idle Power,80.2,80.18,80.28,80.23,80.22,80.22,80.18,80.22,80.21,80.22,80.21,80.26,80.21,80.21,80.23,80.19,80.17,80.2,,,
Dynamic Thermal Power (mW),Switching Power,18.53,18.18,43.57,32.79,25.81,26.46,19.05,29.8,25.89,27.26,23.9,35.63,24.41,22.67,31.32,19,17.45,20.57,,,
I/O Thermal Power (mW),Same across the same board so can be ignored,92.83,89.06,91.7,90.14,91.89,92.8,89.09,88.35,88.79,92.87,91.12,94.08,92.64,92.91,89.75,91.36,87.62,92.83,,,
Total Thermal Power,Total Power,191.55,187.42,215.55,203.17,197.91,199.49,188.33,198.37,194.9,200.36,195.22,209.96,197.25,195.79,201.3,190.56,185.24,193.59,,,
Resource Utilization (%),FPGA occupancy,2%,2%,8%,4%,4%,4%,2%,3%,4%,3%,2%,2%,3%,2%,2%,2%,2%,3%,,,
Signed,To know what sort of operations it can perform,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
Area Delay Product (ADP) (LE.ns),LE x Delay,7974.06,9621.60,11434.15,14736.84,11992.44,12011.04,8482.32,10661.04,11970.00,9028.01,6595.68,8474.40,12850.38,7659.84,9804.75,8383.04,9646.65,4649.5,,,
